Match Number,Team Number,Starting Location,Initiation Line,Auto Balls [Low],Auto Balls [1],Auto Balls [2/3],Auto Balls [4],Auto Balls [5],Auto Balls [6],Auto Balls [Acquired],Auto End Location,Tele Balls [Low],Tele Balls [1],Tele Balls [2/3],Tele Balls [4],Tele Balls [5],Tele Balls [6],Wheel Spin,Wheel Color Match,Defender,Target,Endgame,Rung Level,Foul Points,Tech Foul Points,Alliance Color,Key creation successful!
23,7191,Inline with Opposing Trench,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Heavy,None,None,1,0,0,blue,
24,7856,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,1,0,0,0,0,0,0,None,None,None,0,0,2,red,
24,5532,Inline with Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,Light,None,Park,1,0,0,blue,
24,3538,Right of Goal,1,0,0,3,1,0,0,Alliance Trench,Alliance Trench,0,0,0,12,0,0,0,0,None,Heavy,Hang,1,0,0,blue,
25,7145,Left of Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,Light,None,Park,0,0,1,blue,
24,3414,Inline with Goal,1,0,0,0,0,0,0,None,Goal Zone,0,0,3,3,0,0,0,0,None,Light,Park,0,0,2,red,
25,5214,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,3,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
25,4768,Left of Goal,0,0,0,2,0,0,0,None,Goal Zone,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
25,240,Inline with Goal,1,0,0,2,0,0,0,None,Goal Side Middle,0,0,4,0,0,0,0,0,None,None,Hang,0,0,1,blue,
26,7865,Left of Goal,0,0,0,0,0,0,0,None,Auto Line,0,0,0,0,0,0,0,0,Light,None,Park,1,0,0,blue,
26,6013,Inline with Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,None,None,Park,1,0,0,blue,
26,7692,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,2,0,0,0,0,0,0,0,None,None,Park,1,0,0,red,
21,5756,Left of Goal,1,0,0,0,0,0,0,None,Goal Side Middle,0,1,0,0,0,0,0,0,Heavy,None,Park,0,1,0,red,
22,3096,Left of Goal,1,0,0,0,0,0,0,None,HP Side Middle,7,0,0,0,0,0,0,0,None,None,None,0,1,1,red,
23,1481,Left of Goal,1,0,0,3,0,0,0,None,Goal Side Middle,0,3,4,0,0,0,0,0,None,None,Park,0,0,0,red,
24,247,Inline with Goal,1,0,1,0,0,0,0,None,Goal Side Middle,0,0,0,0,0,0,0,0,Heavy,None,Hang,0,0,2,red,
